County Name,Most Recent Date,Total Count Confirmed,Total Count Deaths,COVID-19 Positive Patients,Suspected COVID-19 Positive Patients,ICU COVID-19 Positive Patients,ICU COVID-19 Suspected Patients
Modoc,2020-04-19T00:00:00,0,0,0,0,0,0
Mono,2020-04-19T00:00:00,23,1,0,0,0,0
Monterey,2020-04-19T00:00:00,140,4,25,6,2,0
Napa,2020-04-19T00:00:00,49,2,0,3,0,0
Nevada,2020-04-19T00:00:00,34,1,1,4,1,4
Orange,2020-04-19T00:00:00,1591,32,162,130,73,24
Placer,2020-04-19T00:00:00,131,8,11,12,1,5
Plumas,2020-04-19T00:00:00,4,0,0,0,0,0
Riverside,2020-04-19T00:00:00,2316,83,236,113,76,22
Sacramento,2020-04-19T00:00:00,912,34,65,39,22,11
San Benito,2020-04-19T00:00:00,40,2,0,0,0,0
San Bernardino,2020-04-19T00:00:00,1262,58,158,97,62,17
San Diego,2020-04-19T00:00:00,2270,83,226,94,92,26
San Francisco,2020-04-19T00:00:00,1153,20,73,34,27,10
San Joaquin,2020-04-19T00:00:00,404,17,23,16,12,2
San Luis Obispo,2020-04-19T00:00:00,132,1,2,7,2,1
San Mateo,2020-04-19T00:00:00,845,31,53,6,18,0
Santa Barbara,2020-04-19T00:00:00,377,4,29,7,16,1
Santa Clara,2020-04-19T00:00:00,1878,79,143,32,67,5
Santa Cruz,2020-04-19T00:00:00,98,2,2,3,1,0
Shasta,2020-04-19T00:00:00,26,3,1,0,1,0
Sierra,2020-04-19T00:00:00,0,0,0,0,0,0
Siskiyou,2020-04-19T00:00:00,5,0,0,1,0,1
Solano,2020-04-19T00:00:00,174,2,11,10,6,3
Sonoma,2020-04-19T00:00:00,172,2,2,8,0,2
Stanislaus,2020-04-19T00:00:00,221,4,13,16,5,3
Sutter,2020-04-19T00:00:00,21,2,0,0,0,0
Tehama,2020-04-19T00:00:00,1,1,0,0,0,0
Trinity,2020-04-19T00:00:00,0,0,0,0,0,0
Tulare,2020-04-19T00:00:00,391,17,27,0,9,0
Tuolumne,2020-04-19T00:00:00,2,0,0,0,0,0
Unassigned,2020-04-19T00:00:00,1,0,0,0,0,0
Ventura,2020-04-19T00:00:00,418,13,26,26,9,4
Yolo,2020-04-19T00:00:00,120,8,6,0,0,0
Yuba,2020-04-19T00:00:00,15,1,0,2,0,2
Alameda,2020-04-20T00:00:00,1181,50,85,52,38,4
Alpine,2020-04-20T00:00:00,1,0,0,0,0,0
Amador,2020-04-20T00:00:00,7,0,0,0,0,0
Butte,2020-04-20T00:00:00,15,0,1,2,0,1
Calaveras,2020-04-20T00:00:00,12,0,0,1,0,0
Colusa,2020-04-20T00:00:00,3,0,1,0,0,0
Contra Costa,2020-04-20T00:00:00,753,22,37,28,13,8
Del Norte,2020-04-20T00:00:00,2,0,0,2,0,1
El Dorado,2020-04-20T00:00:00,36,0,0,4,0,0
Fresno,2020-04-20T00:00:00,356,7,35,30,15,1
Glenn,2020-04-20T00:00:00,3,0,0,0,0,0
Humboldt,2020-04-20T00:00:00,53,0,0,6,0,0
Imperial,2020-04-20T00:00:00,149,3,25,9,11,2
Inyo,2020-04-20T00:00:00,17,0,1,0,1,0
Kern,2020-04-20T00:00:00,651,3,34,11,13,1
Kings,2020-04-20T00:00:00,19,1,8,0,3,0
Lake,2020-04-20T00:00:00,6,0,0,2,0,1
Lassen,2020-04-20T00:00:00,0,0,0,1,0,0
Los Angeles,2020-04-20T00:00:00,13787,617,1791,602,625,93
Madera,2020-04-20T00:00:00,35,2,0,6,0,0
Marin,2020-04-20T00:00:00,200,10,6,4,2,1
Mariposa,2020-04-20T00:00:00,0,0,0,1,0,0
Mendocino,2020-04-20T00:00:00,5,0,0,0,0,0
Merced,2020-04-20T00:00:00,88,3,0,1,0,1
Modoc,2020-04-20T00:00:00,0,0,0,0,0,0
Mono,2020-04-20T00:00:00,23,1,0,0,0,0
Monterey,2020-04-20T00:00:00,147,4,24,7,2,1
Napa,2020-04-20T00:00:00,55,2,1,2,1,0
Nevada,2020-04-20T00:00:00,34,1,1,5,1,2
Orange,2020-04-20T00:00:00,1679,33,172,102,73,21
Placer,2020-04-20T00:00:00,132,8,8,7,2,1
Plumas,2020-04-20T00:00:00,4,0,0,0,0,0
Riverside,2020-04-20T00:00:00,2477,89,240,145,72,29
Sacramento,2020-04-20T00:00:00,924,34,69,32,33,8
San Benito,2020-04-20T00:00:00,43,2,0,0,0,0
San Bernardino,2020-04-20T00:00:00,1344,60,152,200,60,28
San Diego,2020-04-20T00:00:00,2327,102,238,76,95,13
San Francisco,2020-04-20T00:00:00,1223,20,79,27,27,7
San Joaquin,2020-04-20T00:00:00,422,17,30,23,16,4
San Luis Obispo,2020-04-20T00:00:00,132,1,2,3,2,0
San Mateo,2020-04-20T00:00:00,890,31,56,16,18,4
Santa Barbara,2020-04-20T00:00:00,388,4,30,9,20,2
Santa Clara,2020-04-20T00:00:00,1920,83,149,42,68,8
Santa Cruz,2020-04-20T00:00:00,102,2,3,1,1,0
Shasta,2020-04-20T00:00:00,26,3,1,0,1,0
Sierra,2020-04-20T00:00:00,0,0,0,0,0,0
Siskiyou,2020-04-20T00:00:00,5,0,0,1,0,1
Solano,2020-04-20T00:00:00,185,2,10,11,6,3
Sonoma,2020-04-20T00:00:00,178,2,2,12,0,6
Stanislaus,2020-04-20T00:00:00,228,4,13,18,5,6
Sutter,2020-04-20T00:00:00,22,2,0,0,0,0
Tehama,2020-04-20T00:00:00,1,1,0,0,0,0
Trinity,2020-04-20T00:00:00,0,0,0,0,0,0
Tulare,2020-04-20T00:00:00,401,18,27,0,9,0
Tuolumne,2020-04-20T00:00:00,2,0,0,0,0,0
Unassigned,2020-04-20T00:00:00,2,0,0,0,0,0
Ventura,2020-04-20T00:00:00,426,13,29,18,8,2
Yolo,2020-04-20T00:00:00,125,10,5,1,0,0
Yuba,2020-04-20T00:00:00,15,1,0,1,0,1
Alameda,2020-04-21T00:00:00,1234,51,85,59,41,9
Alpine,2020-04-21T00:00:00,1,0,0,0,0,0
Amador,2020-04-21T00:00:00,7,0,0,0,0,0
Butte,2020-04-21T00:00:00,15,0,0,1,0,1
Calaveras,2020-04-21T00:00:00,12,0,0,0,0,0
Colusa,2020-04-21T00:00:00,3,0,1,0,1,0
Contra Costa,2020-04-21T00:00:00,766,22,33,44,13,11
Del Norte,2020-04-21T00:00:00,2,0,0,1,0,0
El Dorado,2020-04-21T00:00:00,36,0,0,3,0,0
Fresno,2020-04-21T00:00:00,372,7,35,35,15,3
Glenn,2020-04-21T00:00:00,3,0,0,0,0,0
Humboldt,2020-04-21T00:00:00,53,0,0,5,0,0
Imperial,2020-04-21T00:00:00,165,5,23,12,12,0
Inyo,2020-04-21T00:00:00,18,0,1,0,1,0
Kern,2020-04-21T00:00:00,676,4,31,12,13,1
Kings,2020-04-21T00:00:00,28,1,8,0,3,0
Lake,2020-04-21T00:00:00,6,0,0,2,0,0
Lassen,2020-04-21T00:00:00,0,0,0,1,0,0
Los Angeles,2020-04-21T00:00:00,15096,663,1854,617,613,111
Madera,2020-04-21T00:00:00,37,2,0,5,0,0
Marin,2020-04-21T00:00:00,202,10,5,4,2,1
Mariposa,2020-04-21T00:00:00,0,0,0,1,0,0
Mendocino,2020-04-21T00:00:00,5,0,0,1,0,0
Merced,2020-04-21T00:00:00,89,3,0,3,0,2
Modoc,2020-04-21T00:00:00,0,0,0,1,0,0
Mono,2020-04-21T00:00:00,23,1,0,0,0,0
Monterey,2020-04-21T00:00:00,151,4,7,4,2,1
Napa,2020-04-21T00:00:00,58,2,1,1,1,0
Nevada,2020-04-21T00:00:00,36,1,1,4,1,2
Orange,2020-04-21T00:00:00,1717,33,179,129,77,27
Placer,2020-04-21T00:00:00,133,8,4,18,2,2
Plumas,2020-04-21T00:00:00,4,0,0,0,0,0
Riverside,2020-04-21T00:00:00,2631,96,250,120,81,32
Sacramento,2020-04-21T00:00:00,941,35,54,39,21,8
San Benito,2020-04-21T00:00:00,43,2,1,0,0,0
San Bernardino,2020-04-21T00:00:00,1499,67,153,204,51,36
San Diego,2020-04-21T00:00:00,2436,109,221,84,98,21
San Francisco,2020-04-21T00:00:00,1232,20,76,45,25,9
San Joaquin,2020-04-21T00:00:00,447,20,27,24,16,5
San Luis Obispo,2020-04-21T00:00:00,134,1,1,5,1,3
San Mateo,2020-04-21T00:00:00,933,31,53,14,19,2
Santa Barbara,2020-04-21T00:00:00,414,5,26,8,13,5
Santa Clara,2020-04-21T00:00:00,1943,88,144,34,70,16
Santa Cruz,2020-04-21T00:00:00,104,2,3,2,1,0
Shasta,2020-04-21T00:00:00,26,3,1,0,1,0
Sierra,2020-04-21T00:00:00,0,0,0,0,0,0
Siskiyou,2020-04-21T00:00:00,5,0,0,1,0,1
Solano,2020-04-21T00:00:00,193,3,6,17,2,0
Sonoma,2020-04-21T00:00:00,182,2,2,17,0,6
Stanislaus,2020-04-21T00:00:00,235,4,11,20,4,7
Sutter,2020-04-21T00:00:00,22,2,0,0,0,0
Tehama,2020-04-21T00:00:00,1,1,0,0,0,0
Trinity,2020-04-21T00:00:00,0,0,0,0,0,0
Tulare,2020-04-21T00:00:00,410,22,27,0,9,0
Tuolumne,2020-04-21T00:00:00,2,0,0,0,0,0
Unassigned,2020-04-21T00:00:00,2,0,0,0,0,0
Ventura,2020-04-21T00:00:00,455,13,28,28,9,10
Yolo,2020-04-21T00:00:00,143,10,5,2,1,0
Yuba,2020-04-21T00:00:00,15,1,0,0,0,0
Alameda,2020-04-22T00:00:00,1275,53,84,61,38,17
Alpine,2020-04-22T00:00:00,1,0,0,0,0,0
Amador,2020-04-22T00:00:00,7,0,0,1,0,0
Butte,2020-04-22T00:00:00,15,0,0,0,0,1
Calaveras,2020-04-22T00:00:00,12,0,0,0,0,0
Colusa,2020-04-22T00:00:00,3,0,1,0,1,0
Contra Costa,2020-04-22T00:00:00,772,22,32,52,13,14
Del Norte,2020-04-22T00:00:00,2,0,0,2,0,1
El Dorado,2020-04-22T00:00:00,39,0,0,5,0,1
Fresno,2020-04-22T00:00:00,388,7,36,43,14,4
Glenn,2020-04-22T00:00:00,3,0,0,0,0,0
Humboldt,2020-04-22T00:00:00,53,0,0,8,0,1
Imperial,2020-04-22T00:00:00,170,6,26,8,12,0
Inyo,2020-04-22T00:00:00,18,0,1,0,1,0
Kern,2020-04-22T00:00:00,713,4,32,25,14,1
Kings,2020-04-22T00:00:00,28,1,9,0,3,0
Lake,2020-04-22T00:00:00,6,0,0,3,0,1
Lassen,2020-04-22T00:00:00,0,0,0,1,0,0
Los Angeles,2020-04-22T00:00:00,16400,729,1858,590,602,125
Madera,2020-04-22T00:00:00,37,2,0,3,0,0
Marin,2020-04-22T00:00:00,202,11,5,10,2,5
Mariposa,2020-04-22T00:00:00,0,0,0,0,0,0
Mendocino,2020-04-22T00:00:00,5,0,0,0,0,0
Merced,2020-04-22T00:00:00,92,3,3,3,0,0
Modoc,2020-04-22T00:00:00,0,0,0,0,0,0
Mono,2020-04-22T00:00:00,23,1,0,0,0,0
Monterey,2020-04-22T00:00:00,154,4,6,3,2,1
Napa,2020-04-22T00:00:00,58,2,1,2,1,0
Nevada,2020-04-22T00:00:00,36,1,1,0,1,0
Orange,2020-04-22T00:00:00,1785,34,172,111,73,21
Placer,2020-04-22T00:00:00,133,8,5,20,1,1
Plumas,2020-04-22T00:00:00,4,0,0,0,0,0
Riverside,2020-04-22T00:00:00,2822,109,229,127,84,25
Sacramento,2020-04-22T00:00:00,959,36,47,23,18,5
San Benito,2020-04-22T00:00:00,43,2,0,0,0,0
San Bernardino,2020-04-22T00:00:00,1564,72,149,201,54,32
San Diego,2020-04-22T00:00:00,2493,112,241,77,104,21
San Francisco,2020-04-22T00:00:00,1255,21,75,17,28,3
San Joaquin,2020-04-22T00:00:00,462,20,29,28,14,4
San Luis Obispo,2020-04-22T00:00:00,142,1,1,7,1,3
San Mateo,2020-04-22T00:00:00,945,39,50,17,15,2
Santa Barbara,2020-04-22T00:00:00,437,5,25,9,13,3
Santa Clara,2020-04-22T00:00:00,1969,94,137,39,68,9
Santa Cruz,2020-04-22T00:00:00,106,2,3,4,1,1
Shasta,2020-04-22T00:00:00,26,3,1,0,1,0
Sierra,2020-04-22T00:00:00,0,0,0,0,0,0
Siskiyou,2020-04-22T00:00:00,5,0,0,1,0,1
Solano,2020-04-22T00:00:00,195,3,10,18,2,2
Sonoma,2020-04-22T00:00:00,185,2,3,16,0,7
Stanislaus,2020-04-22T00:00:00,247,5,13,20,5,6
Sutter,2020-04-22T00:00:00,22,2,0,0,0,0
Tehama,2020-04-22T00:00:00,1,1,0,0,0,0
Trinity,2020-04-22T00:00:00,0,0,0,0,0,0
Tulare,2020-04-22T00:00:00,425,25,27,0,9,0
Tuolumne,2020-04-22T00:00:00,2,0,0,1,0,0
Unassigned,2020-04-22T00:00:00,3,0,0,0,0,0
Ventura,2020-04-22T00:00:00,465,14,27,30,8,9
Yolo,2020-04-22T00:00:00,147,12,4,0,1,0
Yuba,2020-04-22T00:00:00,15,1,0,0,0,0
Alameda,2020-04-23T00:00:00,1336,56,81,90,37,24
Alpine,2020-04-23T00:00:00,1,0,0,0,0,0
Amador,2020-04-23T00:00:00,8,0,0,1,0,0
Butte,2020-04-23T00:00:00,15,0,0,0,0,1
Calaveras,2020-04-23T00:00:00,12,0,0,1,0,1
Colusa,2020-04-23T00:00:00,3,0,1,0,1,0
Contra Costa,2020-04-23T00:00:00,786,23,31,51,13,13
Del Norte,2020-04-23T00:00:00,2,0,0,6,0,3
El Dorado,2020-04-23T00:00:00,39,0,0,8,0,1
Fresno,2020-04-23T00:00:00,426,7,39,39,16,4
Glenn,2020-04-23T00:00:00,3,0,0,0,0,0
Humboldt,2020-04-23T00:00:00,53,0,0,7,0,1
Imperial,2020-04-23T00:00:00,181,8,23,4,9,0
Inyo,2020-04-23T00:00:00,19,0,1,0,1,0
Kern,2020-04-23T00:00:00,732,4,30,11,16,1
Kings,2020-04-23T00:00:00,28,1,9,0,3,0
Lake,2020-04-23T00:00:00,6,0,0,1,0,0
Lassen,2020-04-23T00:00:00,0,0,0,0,0,0
Los Angeles,2020-04-23T00:00:00,17548,797,1863,595,600,118
Madera,2020-04-23T00:00:00,37,2,0,3,0,1
Marin,2020-04-23T00:00:00,209,11,3,14,2,4
Mariposa,2020-04-23T00:00:00,0,0,0,1,0,0
Mendocino,2020-04-23T00:00:00,5,0,0,1,0,1
Merced,2020-04-23T00:00:00,98,3,0,2,0,0
Modoc,2020-04-23T00:00:00,0,0,0,0,0,0
Mono,2020-04-23T00:00:00,23,1,0,0,0,0
Monterey,2020-04-23T00:00:00,161,4,6,6,4,1
Napa,2020-04-23T00:00:00,59,2,1,1,1,0
Nevada,2020-04-23T00:00:00,36,1,1,3,0,1
Orange,2020-04-23T00:00:00,1841,36,170,143,75,25
Placer,2020-04-23T00:00:00,136,8,4,21,1,1
Plumas,2020-04-23T00:00:00,4,0,0,0,0,0
Riverside,2020-04-23T00:00:00,2935,110,222,118,83,24
Sacramento,2020-04-23T00:00:00,978,41,48,40,17,7
San Benito,2020-04-23T00:00:00,43,2,0,0,0,0
San Bernardino,2020-04-23T00:00:00,1604,77,146,94,54,19
San Diego,2020-04-23T00:00:00,2645,112,253,65,105,12
San Francisco,2020-04-23T00:00:00,1312,21,75,29,31,6
San Joaquin,2020-04-23T00:00:00,479,22,31,34,15,6
San Luis Obispo,2020-04-23T00:00:00,146,1,1,4,1,1
San Mateo,2020-04-23T00:00:00,970,39,53,19,16,1
Santa Barbara,2020-04-23T00:00:00,445,5,24,16,13,4
Santa Clara,2020-04-23T00:00:00,1996,95,137,28,67,5
Santa Cruz,2020-04-23T00:00:00,110,2,3,3,1,0
Shasta,2020-04-23T00:00:00,27,3,1,0,1,0
Sierra,2020-04-23T00:00:00,0,0,0,0,0,0
Siskiyou,2020-04-23T00:00:00,5,0,0,1,0,1
Solano,2020-04-23T00:00:00,196,4,11,15,5,4
Sonoma,2020-04-23T00:00:00,187,2,3,17,0,5
Stanislaus,2020-04-23T00:00:00,254,5,14,17,6,2
Sutter,2020-04-23T00:00:00,24,2,0,0,0,0
Tehama,2020-04-23T00:00:00,1,1,0,0,0,0
Trinity,2020-04-23T00:00:00,0,0,0,0,0,0
Tulare,2020-04-23T00:00:00,440,25,30,1,11,0
Tuolumne,2020-04-23T00:00:00,2,0,0,0,0,0
Unassigned,2020-04-23T00:00:00,3,0,0,0,0,0
Ventura,2020-04-23T00:00:00,479,16,25,24,10,5
Yolo,2020-04-23T00:00:00,151,12,4,0,1,0
Yuba,2020-04-23T00:00:00,15,1,0,2,0,2
Alameda,2020-04-24T00:00:00,1385,56,79,63,39,10
Alpine,2020-04-24T00:00:00,1,0,0,0,0,0
Amador,2020-04-24T00:00:00,8,0,0,1,0,0
Butte,2020-04-24T00:00:00,15,0,0,4,0,3
Calaveras,2020-04-24T00:00:00,12,0,0,2,0,1
Colusa,2020-04-24T00:00:00,3,0,1,0,1,0
Contra Costa,2020-04-24T00:00:00,806,23,29,54,12,11
Del Norte,2020-04-24T00:00:00,2,0,0,4,0,0
El Dorado,2020-04-24T00:00:00,41,0,0,7,0,3
Fresno,2020-04-24T00:00:00,449,7,41,37,19,1
Glenn,2020-04-24T00:00:00,4,0,0,0,0,0
Humboldt,2020-04-24T00:00:00,53,0,1,4,0,1
Imperial,2020-04-24T00:00:00,232,8,24,10,8,1
Inyo,2020-04-24T00:00:00,20,1,1,3,1,0
Kern,2020-04-24T00:00:00,770,4,30,17,16,1
Kings,2020-04-24T00:00:00,30,1,9,0,2,0
Lake,2020-04-24T00:00:00,6,0,0,1,0,1
Lassen,2020-04-24T00:00:00,0,0,0,0,0,0
Los Angeles,2020-04-24T00:00:00,18553,848,1860,546,600,87
Madera,2020-04-24T00:00:00,39,2,0,4,0,0
Marin,2020-04-24T00:00:00,211,11,2,11,2,2
Mariposa,2020-04-24T00:00:00,0,0,0,0,0,0
Mendocino,2020-04-24T00:00:00,5,0,0,1,0,0
Merced,2020-04-24T00:00:00,102,3,0,5,0,1
Modoc,2020-04-24T00:00:00,0,0,0,0,0,0
Mono,2020-04-24T00:00:00,23,1,0,0,0,0
Monterey,2020-04-24T00:00:00,167,4,5,8,4,1
Napa,2020-04-24T00:00:00,59,2,1,0,1,0
Nevada,2020-04-24T00:00:00,36,1,1,4,0,2
Orange,2020-04-24T00:00:00,1945,39,175,138,68,24
Placer,2020-04-24T00:00:00,137,8,4,18,0,2
Plumas,2020-04-24T00:00:00,4,0,0,0,0,0
Riverside,2020-04-24T00:00:00,3044,118,223,120,82,26
Sacramento,2020-04-24T00:00:00,1009,41,53,37,17,11
San Benito,2020-04-24T00:00:00,45,2,0,0,0,0
San Bernardino,2020-04-24T00:00:00,1667,80,152,101,57,16
San Diego,2020-04-24T00:00:00,2828,119,257,78,107,13
San Francisco,2020-04-24T00:00:00,1345,22,75,19,30,5
San Joaquin,2020-04-24T00:00:00,484,24,29,20,12,4
San Luis Obispo,2020-04-24T00:00:00,151,1,1,8,1,5
San Mateo,2020-04-24T00:00:00,1004,43,49,16,16,4
Santa Barbara,2020-04-24T00:00:00,450,6,21,11,12,5
Santa Clara,2020-04-24T00:00:00,2026,98,129,34,60,5
Santa Cruz,2020-04-24T00:00:00,111,2,4,1,2,0
Shasta,2020-04-24T00:00:00,28,4,1,0,1,0
Sierra,2020-04-24T00:00:00,0,0,0,0,0,0
Siskiyou,2020-04-24T00:00:00,5,0,0,0,0,0
Solano,2020-04-24T00:00:00,203,4,10,16,4,3
Sonoma,2020-04-24T00:00:00,199,2,3,20,0,3
Stanislaus,2020-04-24T00:00:00,273,5,12,15,6,2
Sutter,2020-04-24T00:00:00,24,2,0,0,0,0
Tehama,2020-04-24T00:00:00,1,1,0,1,0,1
Trinity,2020-04-24T00:00:00,0,0,0,0,0,0
Tulare,2020-04-24T00:00:00,459,28,33,0,11,0
Tuolumne,2020-04-24T00:00:00,2,0,0,0,0,0
Unassigned,2020-04-24T00:00:00,2,0,0,0,0,0
Ventura,2020-04-24T00:00:00,489,16,24,63,6,3
Yolo,2020-04-24T00:00:00,155,13,4,0,1,0
Yuba,2020-04-24T00:00:00,15,1,0,2,0,2
Alameda,2020-04-25T00:00:00,1396,56,83,53,39,6
Alpine,2020-04-25T00:00:00,1,0,0,0,0,0
Amador,2020-04-25T00:00:00,8,0,0,1,0,1
Butte,2020-04-25T00:00:00,16,0,0,3,0,0
Calaveras,2020-04-25T00:00:00,12,0,0,1,0,0
Colusa,2020-04-25T00:00:00,3,0,1,1,1,1
Contra Costa,2020-04-25T00:00:00,821,25,25,53,10,6
Del Norte,2020-04-25T00:00:00,2,0,0,4,0,0
El Dorado,2020-04-25T00:00:00,41,0,1,7,0,2
Fresno,2020-04-25T00:00:00,459,7,41,45,19,2
Glenn,2020-04-25T00:00:00,4,0,0,0,0,0
Humboldt,2020-04-25T00:00:00,53,0,0,3,0,0
Imperial,2020-04-25T00:00:00,232,8,24,8,8,1
Inyo,2020-04-25T00:00:00,20,1,0,3,0,0
Kern,2020-04-25T00:00:00,802,4,29,18,22,3
Kings,2020-04-25T00:00:00,33,1,6,0,2,0
Lake,2020-04-25T00:00:00,6,0,0,2,0,0
Lassen,2020-04-25T00:00:00,0,0,0,0,0,0
Los Angeles,2020-04-25T00:00:00,19144,895,1845,572,579,99
Madera,2020-04-25T00:00:00,39,2,0,2,0,1
Marin,2020-04-25T00:00:00,215,12,2,13,2,3
Mariposa,2020-04-25T00:00:00,0,0,0,0,0,0
Mendocino,2020-04-25T00:00:00,5,0,0,0,0,0
Merced,2020-04-25T00:00:00,103,3,0,3,0,1
Modoc,2020-04-25T00:00:00,0,0,0,0,0,0
Mono,2020-04-25T00:00:00,23,1,0,0,0,0
Monterey,2020-04-25T00:00:00,173,4,5,9,3,0
Napa,2020-04-25T00:00:00,60,2,1,1,1,1
Nevada,2020-04-25T00:00:00,37,1,1,3,0,2
Orange,2020-04-25T00:00:00,2047,39,177,133,74,21
Placer,2020-04-25T00:00:00,137,8,4,30,0,3
Plumas,2020-04-25T00:00:00,4,0,0,0,0,0
Riverside,2020-04-25T00:00:00,3037,118,218,138,81,30
Sacramento,2020-04-25T00:00:00,1015,41,53,46,20,14
San Benito,2020-04-25T00:00:00,45,2,0,0,0,0
San Bernardino,2020-04-25T00:00:00,1675,82,147,101,53,14
San Diego,2020-04-25T00:00:00,2945,119,268,96,110,19
San Francisco,2020-04-25T00:00:00,1341,22,73,18,29,3
San Joaquin,2020-04-25T00:00:00,497,25,27,20,12,5
San Luis Obispo,2020-04-25T00:00:00,159,1,1,4,1,1
San Mateo,2020-04-25T00:00:00,1054,43,47,27,15,11
Santa Barbara,2020-04-25T00:00:00,457,7,23,12,16,4
Santa Clara,2020-04-25T00:00:00,2045,99,125,47,62,15
Santa Cruz,2020-04-25T00:00:00,112,2,4,4,2,3
Shasta,2020-04-25T00:00:00,29,4,1,0,1,0
Sierra,2020-04-25T00:00:00,0,0,0,0,0,0
Siskiyou,2020-04-25T00:00:00,5,0,0,1,0,0
Solano,2020-04-25T00:00:00,203,4,10,16,3,4
Sonoma,2020-04-25T00:00:00,199,2,3,9,0,0
Stanislaus,2020-04-25T00:00:00,276,5,21,23,5,1
Sutter,2020-04-25T00:00:00,24,2,0,0,0,0
Tehama,2020-04-25T00:00:00,1,1,0,1,0,1
Trinity,2020-04-25T00:00:00,0,0,0,0,0,0
Tulare,2020-04-25T00:00:00,478,32,26,0,7,0
Tuolumne,2020-04-25T00:00:00,2,0,0,0,0,0
Unassigned,2020-04-25T00:00:00,3,0,0,0,0,0
Ventura,2020-04-25T00:00:00,494,16,27,71,6,9
Yolo,2020-04-25T00:00:00,157,13,5,0,1,0
Yuba,2020-04-25T00:00:00,15,1,0,2,0,2
Alameda,2020-04-26T00:00:00,1449,56,84,43,42,5
Alpine,2020-04-26T00:00:00,1,0,0,0,0,0
Amador,2020-04-26T00:00:00,8,0,0,0,0,0
Butte,2020-04-26T00:00:00,16,0,0,0,0,0
Calaveras,2020-04-26T00:00:00,13,0,0,0,0,0
Colusa,2020-04-26T00:00:00,3,0,1,1,1,1
Contra Costa,2020-04-26T00:00:00,830,25,27,42,9,9
Del Norte,2020-04-26T00:00:00,3,0,0,2,0,1
El Dorado,2020-04-26T00:00:00,41,0,1,8,0,3
Fresno,2020-04-26T00:00:00,476,7,37,44,18,9
Glenn,2020-04-26T00:00:00,4,0,0,0,0,0
Humboldt,2020-04-26T00:00:00,53,0,0,0,0,0
Imperial,2020-04-26T00:00:00,272,8,26,12,8,2
Inyo,2020-04-26T00:00:00,20,1,0,0,0,0
Kern,2020-04-26T00:00:00,831,5,29,15,23,0
Kings,2020-04-26T00:00:00,33,1,9,0,2,0
Lake,2020-04-26T00:00:00,6,0,0,1,0,0
Lassen,2020-04-26T00:00:00,0,0,0,0,0,0
Los Angeles,2020-04-26T00:00:00,19570,913,1887,575,588,122
Madera,2020-04-26T00:00:00,39,2,0,1,0,0
Marin,2020-04-26T00:00:00,225,12,3,7,2,3
Mariposa,2020-04-26T00:00:00,0,0,0,0,0,0
Mendocino,2020-04-26T00:00:00,5,0,0,0,0,0
Merced,2020-04-26T00:00:00,104,3,0,4,0,2
Modoc,2020-04-26T00:00:00,0,0,0,0,0,0
Mono,2020-04-26T00:00:00,23,1,0,0,0,0
Monterey,2020-04-26T00:00:00,182,4,5,5,3,2
Napa,2020-04-26T00:00:00,62,2,1,0,1,0
Nevada,2020-04-26T00:00:00,37,1,1,2,0,2
Orange,2020-04-26T00:00:00,2124,40,180,109,73,23
Placer,2020-04-26T00:00:00,141,8,4,21,1,5
Plumas,2020-04-26T00:00:00,4,0,0,0,0,0
Riverside,2020-04-26T00:00:00,3301,131,215,152,75,35
Sacramento,2020-04-26T00:00:00,1027,41,48,40,16,6
San Benito,2020-04-26T00:00:00,45,2,0,0,0,0
San Bernardino,2020-04-26T00:00:00,1681,82,146,83,50,20
San Diego,2020-04-26T00:00:00,3045,123,273,90,114,21
San Francisco,2020-04-26T00:00:00,1403,23,79,21,31,3
San Joaquin,2020-04-26T00:00:00,514,25,24,19,9,4
San Luis Obispo,2020-04-26T00:00:00,165,1,1,3,1,2
San Mateo,2020-04-26T00:00:00,1070,46,53,10,18,2
Santa Barbara,2020-04-26T00:00:00,464,7,24,13,12,4
Santa Clara,2020-04-26T00:00:00,2097,102,118,64,60,17
Santa Cruz,2020-04-26T00:00:00,116,2,4,1,2,0
Shasta,2020-04-26T00:00:00,29,4,1,0,1,0
Sierra,2020-04-26T00:00:00,0,0,0,0,0,0
Siskiyou,2020-04-26T00:00:00,5,0,0,0,0,0
Solano,2020-04-26T00:00:00,205,4,8,14,3,1
Sonoma,2020-04-26T00:00:00,216,2,1,9,0,1
Stanislaus,2020-04-26T00:00:00,294,5,28,19,7,4
Sutter,2020-04-26T00:00:00,26,2,0,0,0,0
Tehama,2020-04-26T00:00:00,1,1,0,0,0,0
Trinity,2020-04-26T00:00:00,0,0,0,0,0,0
Tulare,2020-04-26T00:00:00,497,32,26,0,8,0
Tuolumne,2020-04-26T00:00:00,3,0,0,0,0,0
Unassigned,2020-04-26T00:00:00,3,0,0,0,0,0
Ventura,2020-04-26T00:00:00,509,17,27,73,6,3
Yolo,2020-04-26T00:00:00,158,13,1,1,1,1
Yuba,2020-04-26T00:00:00,15,1,0,2,0,1
Alameda,2020-04-27T00:00:00,1494,59,81,47,39,8
Alpine,2020-04-27T00:00:00,1,0,0,0,0,0
Amador,2020-04-27T00:00:00,8,0,0,0,0,0
Butte,2020-04-27T00:00:00,16,0,0,0,0,0
Calaveras,2020-04-27T00:00:00,13,0,0,1,0,0
Colusa,2020-04-27T00:00:00,3,0,1,1,1,1
